class,Q,A
InteractableObject.cs,What is the name of the variable that is used to store the hint text in InteractableObject.cs?," ```csharp
protected string hintText;
```"
InteractableObject.cs,"In InteractableObject.cs, what method is called when the player presses the interact button for the current interactable object?"," ```csharp
public abstract void Interact();
```"
InteractableObject.cs,How does InteractableObject.cs handle the case where the hint text is empty?," ```csharp
if (hintText.Length == 0) return;
```"
InteractableObject.cs,What is the functionality of the ObjectWentOutOfFocus method in InteractableObject.cs?," ```csharp
protected abstract void OnObjectWentOutOfFocus();
```"
InteractableObject.cs,"When the player stops looking at an interactable object, how does InteractableObject.cs remove the hint from the UI?"," ```csharp
UiEventHub.MainHint("""");
```"
InteractableObject.cs,Which method in InteractableObject.cs is responsible for handling custom logic when the player is no longer focused on the current interactable object?," ```csharp
protected abstract void OnObjectWentOutOfFocus();
```"
PlayerInteractableObjectsManager.cs,What is the purpose of 'PlayerInteractableObjectsManager.cs' class?,The 'PlayerInteractableObjectsManager.cs' class is responsible for detecting whether the player is focusing on an interactable object and calling the methods of that object when the player interacts with it. Also manages when player is not focusing on interactable objects.
PlayerInteractableObjectsManager.cs,What does 'PlayerInteractableObjectsManager.cs' do when the raycast hits an interactable object?,"If the raycast hits an interactable object, it calls the 'ObjectWentInFocus' method of that object, and sets the current focused interactable object to that object."
PlayerInteractableObjectsManager.cs,What does 'PlayerInteractableObjectsManager.cs' do when the raycast doesn't hit an interactable object?,"If the raycast doesn't hit an interactable object, it calls the 'ObjectWentOutOfFocus' method of the current focused interactable object (if there is one), and sets the current focused interactable object to null."
PlayerInteractableObjectsManager.cs,What is the purpose of the '_currentInteractableObject' variable?,The '_currentInteractableObject' variable stores the interactable object that the player is currently focusing on.
PlayerInteractableObjectsManager.cs,What does 'PlayerInteractableObjectsManager.cs' do when the player presses the interact button?,"When the player presses the interact button, the 'PlayerInteractableObjectsManager.cs' class checks if the player is focusing on an interactable object, and if so, it calls the 'Interact' method of that object."
PlayerInteractableObjectsManager.cs,What is the purpose of the OnInteractAction event?,"The OnInteractAction event is used to listen for when the player presses the interact button. When this event is triggered, the 'PlayerInteractableObjectsManager.cs' class calls the 'OnInteractAction' method to perform the appropriate actions."
PlayerInteractableObjectsManager.cs,What is the purpose of the StarterAssetsInputs.OnInteractAction event?,"The StarterAssetsInputs.OnInteractAction event is used to listen for when the player presses the interact button. When this event is triggered, the 'PlayerInteractableObjectsManager.cs' class calls the 'OnInteractAction' method to perform the appropriate actions."
PlayerInteractableObjectsManager.cs,What is the purpose of the OnEnable() method?,The OnEnable() method is used to subscribe to the OnInteractAction event when the 'PlayerInteractableObjectsManager.cs' class is enabled.
PlayerInteractableObjectsManager.cs,What is the purpose of the OnDisable() method?,The OnDisable() method is used to unsubscribe from the OnInteractAction event when the 'PlayerInteractableObjectsManager.cs' class is disabled.
PlayerInteractableObjectsManager.cs,What is the purpose of the '_playerManager' variable?,The '_playerManager' variable stores a reference to the PlayerManager component on the player object.
PlayerInteractableObjectsManager.cs,in 'PlayerInteractableObjectsManager.cs' how does the script check if the player is in focus of an interactable object?," ```csharp
RaycastHit hit;
if (Physics.Raycast(_playerHead.position, _playerHead.forward, out hit, distance, layerMask)) {
  if (hit.transform.gameObject.layer == 10) FocusingOnAnInteractableObject(hit);
  else NotFocusingOnAnInteractableObject();
} else {
  NotFocusingOnAnInteractableObject();
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the code to assign the current interactable object to null if the player is not focusing on an interactable object.," ```csharp
private void NotFocusingOnAnInteractableObject() {
  Debug.DrawRay(_playerHead.position, _playerHead.forward * distance, Color.red);
  if (_currentInteractableObject) _currentInteractableObject.ObjectWentOutOfFocus();
  _currentInteractableObject = null;
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' How is the OnInteractAction Event handled?," ```csharp
private void OnInteractAction() {
  if (_currentInteractableObject) _currentInteractableObject.Interact();
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' How does the player manager get assigned to _playerManager?," ```csharp
private void Start() {
  _playerManager = GetComponent<PlayerManager>();
  _playerHead = _playerManager.playerHead;
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the layer mask the raycast uses?," ```csharp
[SerializeField] private LayerMask layerMask;
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the layer number that interactable objects use?," ```csharp
if (hit.transform.gameObject.layer == 10) FocusingOnAnInteractableObject(hit);
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the code used to check if there is an interactable object in focus and when an interactable object is in focus?," ```csharp
if (_currentInteractableObject) {
  if (!_currentInteractableObject) {
    _currentInteractableObject = hit.transform.GetComponent<InteractableObject>();
    _currentInteractableObject.ObjectWentInFocus();
  } else if (_currentInteractableObject.gameObject != hit.transform.gameObject) {
    _currentInteractableObject.ObjectWentOutOfFocus();
    _currentInteractableObject = hit.transform.GetComponent<InteractableObject>();
    _currentInteractableObject.ObjectWentInFocus();
  }
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the script subscribed to?," ```csharp
private void OnEnable() {
  StarterAssetsInputs.OnInteractAction += OnInteractAction;
}
``` "
PlayerInteractableObjectsManager.cs,In 'PlayerInteractableObjectsManager.cs' What is the script unsubscribed to?," ```csharp
private void OnDisable() {
  StarterAssetsInputs.OnInteractAction -= OnInteractAction;
}
``` "
PlayerInteractableObjectsManager.cs,in 'PlayerInteractableObjectsManager.cs' what is the distance the raycast uses?," ```csharp
[SerializeField] private float distance;
``` "
PowerSwitch.cs,what is the purpose of the PowerSwitch.cs class?,"The PowerSwitch.cs class manages the power switches in the game. it adds extra functionality to the switch when the player interacts with it, and it also manages the switch's state and visuals based on the current power state of the level."
PowerSwitch.cs,"in 'OnSwitchFlipped' function, what is the event that is broadcasted when the player interacts with the switch?",'LevelEventHub.PowerSwitchActivated(id)' event is broadcasted. This event contains the id of the switch that was activated.
PowerSwitch.cs,in 'PowerSwitch.cs' what is the purpose of the _powerIndicator variable?,The _powerIndicator is a SimpleLight component that is used to visually indicate the state of the switch. It turns on and changes color when the player interacts with the switch.
PowerSwitch.cs,What happens when the player interacts with the switch?,"When the player interacts with the switch, the 'OnSwitchFlipped' method is called. This method turns on the visual indicator and broadcasts an event that the power switch was activated. The event contains the id of the switch."
PowerSwitch.cs,What happens to the PowerSwitch.cs collider when the power is out?,"When the power is out, the collider of the PowerSwitch.cs is enabled, which allows the player to interact with the switch."
PowerSwitch.cs,in 'PowerSwitch.cs' what is the purpose of the switchAnimator variable?,The switchAnimator variable is an animator component that is used to animate the switch when its state changes.
PowerSwitch.cs,in 'PowerSwitch.cs' what is the purpose of the switchCollider variable?,The switchCollider variable is a collider component that is used to control whether or not the player can interact with the switch. It is disabled when the power is on and enabled when the power is out.
PowerSwitch.cs,What happens to the PowerSwitch.cs collider when the power is back on?,"When the power is back on, the collider of the PowerSwitch.cs is disabled, which prevents the player from interacting with the switch."
PowerSwitch.cs,what is the purpose of the LightsOut function?,"The LightsOut function is called when the power goes out. It updates the switch's animation and collider state, and it turns on the visual indicator to show that the switch is off."
PowerSwitch.cs,what is the purpose of the LightsBackOn function?,"The LightsBackOn function is called when the power comes back on. It updates the switch's animation and collider state, and it turns off the visual indicator to show that the switch is on."
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the method that's called when the player interacts with a switch?"," ```csharp
public void OnSwitchFlipped(){
//visuals
    _powerIndicator.TurnOn(LightColor.Green);

    //broadcast an event that the power switch was activated
    LevelEventHub.PowerSwitchActivated(id);
}
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the method that's called when power is back on?"," ```csharp
private void LightsBackOn(){
    switchCollider.enabled = false;
}
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the animator variable?"," ```csharp
private Animator switchAnimator;
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the method that's called when power is out?"," ```csharp
private void LightsOut(){
    //animate switch to off position
    switchAnimator.Play(""Turn Off"");
    //enable the collider so the player can interact with it
    switchCollider.enabled = true;

    //visuals
    _powerIndicator.gameObject.SetActive(true);
    _powerIndicator.TurnOn(LightColor.Red);
}
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the collider variable?"," ```csharp
private Collider switchCollider;
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the method that's called when the script is enabled?"," ```csharp
private void OnEnable(){
    //subscribing (listening) to some events
    LevelEventHub.OnLightsOut += LightsOut;
    LevelEventHub.OnLightsBackOn += LightsBackOn;
}
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the method that's called when the script is disabled?"," ```csharp
private void OnDisable(){
    //unsubscribing to some events
    LevelEventHub.OnLightsOut -= LightsOut;
    LevelEventHub.OnLightsBackOn -= LightsBackOn;
}
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the audio clip variable?"," ```csharp
[SerializeField] private AudioClip switchFlipSound;
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the simple light variable?"," ```csharp
[SerializeField] private SimpleLight _powerIndicator;
``` "
PowerSwitch.cs,"In 'PowerSwitch.cs', what is the name of the id variable?"," ```csharp
[SerializeField] private int id = -1;
``` "
SimpleDoor.cs,What is the purpose of the SimpleDoor.cs class?,The SimpleDoor.cs class is a Unity script that allows you to add doors to your game that can be opened and closed by the player.
SimpleDoor.cs,What other class does SimpleDoor.cs inherit from?,"The SimpleDoor.cs class inherits from the InteractableObject.cs class, which is the base class for all interactable objects in the game."
SimpleDoor.cs,What is the purpose of the IsLocked and IsOpen variables?,"The IsLocked and IsOpen variables store the current state of the door, whether it is locked or open."
SimpleDoor.cs,What is the purpose of the _lockIndicatorsRenderers array?,The _lockIndicatorsRenderers array contains references to the MeshRenderer components of the door's lock indicators.
SimpleDoor.cs,What are the lockedMaterial and unlockedMaterial variables used for?,The lockedMaterial and unlockedMaterial variables are used to change the material of the door's lock indicators depending on whether the door is locked or unlocked.
SimpleDoor.cs,"What is the purpose of the audioSource, doorOpenSound, and doorLockedSound variables?","The audioSource, doorOpenSound, and doorLockedSound variables are used to play audio when the door is opened or locked."
SimpleDoor.cs,What is the purpose of the Unlock() and Lock() methods?,"The Unlock() and Lock() methods are used to change the state of the door, setting it to unlocked or locked, respectively."
SimpleDoor.cs,What is the purpose of the OnObjectWentOutOfFocus() method?,The OnObjectWentOutOfFocus() method is called when the player is no longer focusing on the door. It can be overridden by child classes to add custom logic.
SimpleDoor.cs,What is the purpose of the ForceClose() and ForceOpen() methods?,"The ForceClose() and ForceOpen() methods are used to close or open the door via script, regardless of its current state."
SimpleDoor.cs,What does the Interact() method do?,"The Interact() method is called when the player presses the interact button while focusing on the door. It opens or closes the door, plays an audio clip, and updates the door's state and hint text."
SimpleDoor.cs,in 'SimpleDoor.cs' how does the script initialize the door state?," ```csharp
private void Start() {
        _animator = GetComponent<Animator>();
        IsOpen = false;
        
        //initialize the door state
        if (IsLocked) Lock();
        else Unlock();
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' how does the script unlock the door?," ```csharp
public void Unlock() {
        IsLocked = false;
        hintText = ""Open the door"";

        //change the material of the lock indicators to the unlocked material
        foreach (var meshRenderer in _lockIndicatorsRenderers) meshRenderer.material = unlockedMaterial;
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' how does the script lock the door?," ```csharp
public void Lock() {
        IsLocked = true;
        hintText = ""*Door is Locked"";

        //change the material of the lock indicators to the locked material
        foreach (var meshRenderer in _lockIndicatorsRenderers) meshRenderer.material = lockedMaterial;
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' what does the function 'ForceClose' do?," ```csharp
public void ForceClose() {
        if (!IsOpen) return;
        IsOpen = false;
        _animator.SetTrigger(""OnInteract"");
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' what does the function 'ForceOpen' do?," ```csharp
public void ForceOpen() {
        if (IsOpen) return;
        IsOpen = true;
        _animator.SetTrigger(""OnInteract"");
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' what is the code responsible for the door interactions from the player?," ```csharp
public override void Interact() {
        //if the door is locked, play the locked door animation and sound and return
        if (IsLocked) {
            _animator.Play(""LockedDoor"");
            audioSource.PlayOneShot(doorLockedSound);
            return;
        }

        //play sound
        audioSource.PlayOneShot(doorOpenSound);
        //change the state of the door
        IsOpen = !IsOpen;
        //play the animation
        _animator.SetTrigger(""OnInteract"");
        //change the hint text
        hintText = (hintText == ""Open the door"") ? ""Close the door"" : ""Open the door"";
        ShowHint();
    }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' when does the script play the locked door animation and sound?," ```csharp
if (IsLocked) {
            _animator.Play(""LockedDoor"");
            audioSource.PlayOneShot(doorLockedSound);
            return;
        }
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' what does the script do after playing the door's sound and animation?," ```csharp
        //change the state of the door
        IsOpen = !IsOpen;
        //play the animation
        _animator.SetTrigger(""OnInteract"");
        //change the hint text
        hintText = (hintText == ""Open the door"") ? ""Close the door"" : ""Open the door"";
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' how does the script change the hint text based on the current door state?," ```csharp
hintText = (hintText == ""Open the door"") ? ""Close the door"" : ""Open the door"";
``` "
SimpleDoor.cs,in 'SimpleDoor.cs' where is the door sound played from?," ```csharp
audioSource.PlayOneShot(doorOpenSound);
``` "
GrabbableObjects.cs,What is the purpose of the GrabbableObjects.cs class?,The GrabbableObjects.cs class extends the InteractableObject.cs class and adds the functionality of grabbing and holding + unGrabbing the object when the player interacts with it.
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the '_rb' private variable?","The '_rb' private variable is a reference to the Rigidbody component of the object, which is used to control the physics of the object when it is being grabbed."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the '_characterController' private variable?","The '_characterController' private variable is a reference to the CharacterController component of the player, which is used to control the movement of the player."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the '_lastPosition' private variable?","The '_lastPosition' private variable is used to store the position of the object before it is grabbed, so that it can be used to calculate the velocity of the object when it is ungrabbed."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the '_objectHoldPosition' private variable?",The '_objectHoldPosition' private variable is used to store the position where the object should be held when it is grabbed.
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the 'Grab' method?","The 'Grab' method is called when the player interacts with the object to grab it. It sets the target position for the object, sets various variables, and invokes events."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the 'UnGrab' method?","The 'UnGrab' method is called when the player ungrabs the object. It sets various variables, broadcasts events, and applies velocity to the object if specified."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the 'onGrabbed' UnityEvent field?","The 'onGrabbed' UnityEvent field is used to invoke an event when the object is grabbed. This can be used to trigger various actions, such as playing a sound effect or updating the UI."
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the 'IsGrabbed' property?",The 'IsGrabbed' property is used to check if the object is currently grabbed.
GrabbableObjects.cs,"In the GrabbableObjects.cs class, what is the purpose of the 'MetaData' field?","The 'MetaData' field is used to store additional data about the object, such as its weight or value."
GrabbableObjects.cs,"In 'GrabbableObjects.cs', what is the difference between a small and big object?"," ```csharp
A big object is held in a different position than a small object.
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', what is the main responsibility of this script?"," ```csharp
This script adds the functionality of grabbing and holding + unGrabbing the object when the player interacts with it.
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', how does the object check if the player is interacting with it?"," ```csharp
public override void Interact() {
    //broadcast event
    PlayerBehaviourEventHub.GrabbableObjectInteracted(this);
}
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', how does the object lerp to the target position?"," ```csharp
transform.position = Vector3.Lerp(_lastPosition, _objectHoldPosition.position, Time.deltaTime * 3);
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', where is the player's hint text set?"," ```csharp
hintText = ""release"";
ShowHint();
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', what event is invoked when the player grabs an object?"," ```csharp
onGrabbed?.Invoke();
PlayerBehaviourEventHub.PlayerGrabbedAnObject();
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', what is the name of the method that is called when the player ungrabs an object?"," ```csharp
public void UnGrab(bool applyVelocity)
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', how does the script calculate the velocity to apply to the object when it is ungrabbed?"," ```csharp
var delta = transform.position - _lastPosition;
var velocity = delta / Time.deltaTime;
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', what is the maximum velocity that can be applied to a grabbable object when it is ungrabbed?"," ```csharp
if (velocityMagnitude > Constants.GrabbableObjectMaximumVelocity)
    velocity = velocity.normalized * Constants.GrabbableObjectMaximumVelocity;
``` "
GrabbableObjects.cs,"In 'GrabbableObjects.cs', how is the IsGrabbed variable set to true?"," ```csharp
IsGrabbed = true;
``` "
PlayerHoldObjectsManager.cs,What is the purpose of the PlayerHoldObjectsManager class?,"The purpose of this class is to handle the grabbing and releasing of grabbable objects by the player.
When the player interacts with a grabbable object, an event is triggered, and this class calls the appropriate methods to grab or ungrab the object."
PlayerHoldObjectsManager.cs,Which component is responsible for subscribing and unsubscribing to the events related to grabbable object interaction?,The MonoBehaviour component is responsible for subscribing and unsubscribing to the events related to grabbable object interaction.
PlayerHoldObjectsManager.cs,Which class is responsible for managing the player's interactions?,"The PlayerManager class is responsible for managing the player's interactions, including interactions with grabbable objects."
PlayerHoldObjectsManager.cs,What are the two transform variables used for in this class?,"The two transform variables, smallObjectHoldPosition and bigObjectHoldPosition, are used to specify the target positions where small and big grabbable objects should be held, respectively, when picked up by the player."
PlayerHoldObjectsManager.cs,What method is called when the player interacts with a grabbable object?,The OnGrabbableObjectInteracted method is called when the player interacts with a grabbable object. This method checks if the object is currently grabbed and calls the appropriate method to grab or ungrab the object.
PlayerHoldObjectsManager.cs,What event is the class listening to in the OnEnable method?,"In the OnEnable method, the class listens to the OnGrabbableObjectInteracted event, which is triggered when the player interacts with a grabbable object."
PlayerHoldObjectsManager.cs,What happens when the OnGrabbableObjectInteracted event is triggered?,"When the OnGrabbableObjectInteracted event is triggered, the class calls the OnGrabbableObjectInteracted method, which checks if the object is currently grabbed and calls the appropriate method to grab or ungrab the object."
PlayerHoldObjectsManager.cs,What is the purpose of the OnDisable method in this class?,The purpose of the OnDisable method is to unsubscribe from the OnGrabbableObjectInteracted event when the class is disabled.
PlayerHoldObjectsManager.cs,When would the OnGrabbableObjectInteracted event be triggered?,"The OnGrabbableObjectInteracted event is triggered when the player interacts with a grabbable object, such as when the player presses a button or performs an action to interact with the object."
PlayerHoldObjectsManager.cs,What is the purpose of the PlayerBehaviourEventHub class?,"The exact purpose of the PlayerBehaviourEventHub class is not available in the given context, but it appears to be a class that provides event handling functionality related to player behavior."
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what is called when the player interacts with a grabbable object?," ```csharp
private void OnGrabbableObjectInteracted(GrabbableObjects obj) {...}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what is the code that grabs/unGrabs the object?," ```csharp
if (obj.IsGrabbed) obj.UnGrab(true);
else obj.Grab(playerManager.playerHead, playerManager.characterController, obj.IsBig ? bigObjectHoldPosition : smallObjectHoldPosition);
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' when is the 'OnGrabbableObjectInteracted' method called?," ```csharp
private void OnGrabbableObjectInteracted(GrabbableObjects obj) {
if (obj.IsGrabbed) obj.UnGrab(true);
else obj.Grab(playerManager.playerHead, playerManager.characterController, obj.IsBig ? bigObjectHoldPosition : smallObjectHoldPosition);
}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what does the 'OnEnable' method do?," ```csharp
private void OnEnable() {
//subscribing (listening) to some events
PlayerBehaviourEventHub.OnGrabbableObjectInteracted += OnGrabbableObjectInteracted;
}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what does the 'OnDisable' method do?," ```csharp
private void OnDisable() {
//unsubscribing to some events
PlayerBehaviourEventHub.OnGrabbableObjectInteracted -= OnGrabbableObjectInteracted;
}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what is passed to the 'Grab' method of the 'GrabbableObjects.cs' script?," ```csharp
if (obj.IsGrabbed) obj.UnGrab(true);
else obj.Grab(playerManager.playerHead, playerManager.characterController, obj.IsBig ? bigObjectHoldPosition : smallObjectHoldPosition);
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what is passed to the 'UnGrab' method of the 'GrabbableObjects.cs' script?," ```csharp
if (obj.IsGrabbed) obj.UnGrab(true);
else obj.Grab(playerManager.playerHead, playerManager.characterController, obj.IsBig ? bigObjectHoldPosition : smallObjectHoldPosition);
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what event is listened to?," ```csharp
private void OnEnable() {
//subscribing (listening) to some events
PlayerBehaviourEventHub.OnGrabbableObjectInteracted += OnGrabbableObjectInteracted;
}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' what event is unsubscribed from?," ```csharp
private void OnDisable() {
//unsubscribing to some events
PlayerBehaviourEventHub.OnGrabbableObjectInteracted -= OnGrabbableObjectInteracted;
}
``` "
PlayerHoldObjectsManager.cs,In 'PlayerHoldObjectsManager.cs' how is the target position of small and big objects determined?," ```csharp
[SerializeField] private Transform smallObjectHoldPosition, bigObjectHoldPosition;
``` "
PowerCoreObject.cs,what are the main functions of the PowerCoreObject class?,"The PowerCoreObject class handles the insertion and ejection of a power core into and out of a power station, including animations, physics, and event broadcasting."
PowerCoreObject.cs,What is the role of the coreInstallTarget and the coreMidInstallTarget variables?,The coreInstallTarget and coreMidInstallTarget variables specify the final and intermediate positions for the power core during the insertion animation.
PowerCoreObject.cs,How does the OnEnteredPowerStation function contribute to the insertion process?,"The OnEnteredPowerStation function is called when the power core enters the trigger zone of the power station, disabling colliders, adjusting gravity, and initiating the insertion animation sequence."
PowerCoreObject.cs,What happens when the player interacts with the power station?,"When the player interacts with the power station, the Eject function is called, moving the power core to its intermediate position, disabling colliders, enabling gravity, applying a force to eject the core, and broadcasting events."
PowerCoreObject.cs,What is the purpose of the _rb variable?,"The _rb variable references the Rigidbody component of the power core object, which is manipulated during the insertion and ejection processes to control physics and movement."
PowerCoreObject.cs,What event is broadcasted when the power core is inserted?,The PowerCoreInserted event is broadcasted when the power core is successfully inserted into the power station.
PowerCoreObject.cs,What event is broadcasted when the power core is ejected?,The PowerCoreEjected event is broadcasted when the power core is ejected from the power station.
PowerCoreObject.cs,How does the insertAnimationDuration1 variable influence the insertion animation?,"The insertAnimationDuration1 variable determines the duration of the first phase of the insertion animation, where the power core moves to its intermediate position and rotates into alignment."
PowerCoreObject.cs,How does the insertAnimationDuration2 variable influence the insertion animation?,"The insertAnimationDuration2 variable determines the duration of the second phase of the insertion animation, where the power core moves to its final position within the power station."
PowerCoreObject.cs,What is the id variable used for?,"The id variable is used to identify the specific power core object and differentiate it from others in the scene, especially when broadcasting events related to insertion and ejection."
PowerCoreObject.cs,In 'PowerCoreObject.cs' how can you disable the gravity of the power core? ," ```csharp
_rb.useGravity = false;  
``` "
PowerCoreObject.cs,What happens when the player interacts with the power station," ```csharp
Eject(); 
``` "
PowerCoreObject.cs,what is the amount of time it takes the power core to complete its first insertion animation?," ```csharp
insertAnimationDuration1 = 0.5f,
``` "
PowerCoreObject.cs,"when the power core is ejected, what happens to its collider?"," ```csharp
GetComponent<Collider>().enabled = true;
``` "
PowerCoreObject.cs,What is the target position that the core moves to during the first insertion animation?," ```csharp
coreMidInstallTarget.position,
``` "
PowerCoreObject.cs,"when the power core is in the air, what does it do to eject itself out of the station?"," ```csharp
_rb.AddForce(new Vector3(20, 50, 20));
``` "
PowerCoreObject.cs,what function is used to tell the power core that it is ejected?," ```csharp
LevelEventHub.PowerCoreEjected(id);
``` "
PowerCoreObject.cs,What is the target position that the core moves to during the second insertion animation?," ```csharp
coreInstallTarget.position,
``` "
PowerCoreObject.cs,what is the amount of time it takes the power core to complete its second insertion animation?," ```csharp
insertAnimationDuration2 = 0.5f,
``` "
PowerCoreObject.cs,What is the target rotation that the core rotates to during the first insertion animation?," ```csharp
coreInstallTarget.rotation,
``` "
PowerCoreStation.cs,What is the parent class of 'PowerCoreStation.cs'?,'PowerCoreStation.cs' inherits from 'InteractableObject.cs'.
PowerCoreStation.cs,what is the purpose of 'PowerCoreStation.cs'?,"As an extension of the 'InteractableObject.cs', it implements a power station, with logic for detecting, inserting and ejecting the power core."
PowerCoreStation.cs,"'PowerCoreStation.cs' has a private variable called '_isCoreInside', what is it's purpose?",The '_isCoreInside' variable is a boolean that keeps track of whether the power core is currently inside the station.
PowerCoreStation.cs,What happens when a power core enters the station's trigger zone?,"The station detects the core and calls the 'CoreDetected()' method, which fully inserts the core into the station and plays an insertion sound."
PowerCoreStation.cs,What is the purpose of the 'OnEnteredPowerStation()' method in 'PowerCoreStation.cs'?,The 'OnEnteredPowerStation()' method is a callback that is called when the power core fully enters the station. It plays an insertion sound and updates the station's state.
PowerCoreStation.cs,What happens when the player interacts with the station?,"When the player interacts with the station, the station calls the 'Interact()' method, which ejects the power core (if it is inside), plays an ejection sound, and updates the station's state."
PowerCoreStation.cs,What is the purpose of the '_justEjected' variable in 'PowerCoreStation.cs'?,The '_justEjected' variable is a boolean that keeps track of whether the power core was just ejected from the station.
PowerCoreStation.cs,What happens when a power core is ejected from the station?,"When a power core is ejected from the station, the station plays an ejection sound, updates its state, and sets the '_justEjected' variable to true."
PowerCoreStation.cs,What is the purpose of the '_isDetachable' variable in 'PowerCoreStation.cs'?,The '_isDetachable' variable determines whether the power core can be ejected from the station.
PowerCoreStation.cs,When is the 'OnObjectWentOutOfFocus()' method called in 'PowerCoreStation.cs'?,The 'OnObjectWentOutOfFocus()' method is called when the player is no longer focusing on the station.
PowerCoreStation.cs,where does the core fully insert itself when entering the station's trigger zone?," ```csharp
coreObject.OnEnteredPowerStation(() => { audioSource.PlayOneShot(insertSound); });
``` "
PowerCoreStation.cs,How does the station check if the entering collider is the correct power core?," ```csharp
if (coreObject && coreObject == core) {
  //ejected core should not be inserted again
  if (_justEjected) {
    _justEjected = false;
    return;
  }
  //core detected, fully insert it
  CoreDetected(coreObject);
}
``` "
PowerCoreStation.cs,What happens if the power core is not detachable?," ```csharp
if (!isDetachable) {
  coreObject.transform.parent = transform;
  GetComponent<Collider>().enabled = false;
}
``` "
PowerCoreStation.cs,What happens when the player stops focusing on the current interactable object?," ```csharp
protected override void OnObjectWentOutOfFocus() { }
``` "
PowerCoreStation.cs,what does the player need to do to interact with the station?," ```csharp
public override void Interact() {
  if (!_isCoreInside) return;

  //play sound
  audioSource.PlayOneShot(ejectSound);
  hintText = """";

  //eject the core
  core.Eject();
  _justEjected = true;
  _isCoreInside = false;
}
``` "
PowerCoreStation.cs,What is the sound played when the core ejects itself from the station?," ```csharp
audioSource.PlayOneShot(ejectSound);
``` "
PowerCoreStation.cs,what is the variable used to make sure the ejected power core cannot insert itself back into the station?," ```csharp
_justEjected``` "
PowerCoreStation.cs,What happens when the core enters the station?," ```csharp
_isCoreInside = true;
hintText = ""Eject"";
``` "
